Ano;Autor;Titulo;Estrato
2019;Valerio Augusto Soares de Medeiros;Elaboracao da Minuta do ?Plano Diretor? (Projeto Estrategico Plano Diretor de Uso dos Espacos da Camara dos Deputados) (Projeto de Resolucao da Camara dos Deputados 01/2021);T3
2020;Fabiano Peruzzo Schwartz;Extrato Lattes v2 - Indicadores Capes em Ciencia Politica - registro INPI (https://github.com/Cefor/extratolattes) - Registro (BR512020002538-2);T2
2017;Roberto Campos da Rocha Miranda;I CONCURSO DE ARTIGOS CIENTÍFICOS DA COMISSÃO DO ESPORTE;T3
2018;Ricardo Chaves de Rezende Martins;O INVESTIMENTO PÚBLICO NA EDUCAÇÃO SUPERIOR: ANÁLISE HISTÓRICA E DESDOBRAMENTOS PARA POLÍTICAS SUSTENTÁVEIS E INCLUSIVAS DE FINANCIAMENTO;T3
2020;Cristiane Brum Bernardes;TREINAMENTO PROFISSIONAL EM PARLAMENTO DIGITAL;T1
